Transaction Amount ($) ,Fraud Detected ,Fraud Type       ,Device Risk Score ,Login Frequency (Per Day) ,Multiple Login Attempts ,Unusual IP Address ,Previous Fraud History ,Compromised Credentials Used ,Malicious Link Clicked ,Blacklisted Entity Involved ,Transaction Location Risk ,Dark Web Involvement ,Transaction Time ,Unusual Location Detected ,Account Age (Days) ,Account Type ,Social Engineering Involvement ,Previous Suspicious Activity ,Data Breach Exposure
                  7280 ,No             ,Identity Theft   ,               40 ,                       30 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.47 ,No                   ,Day              ,No                        ,               133 ,Business     ,Yes                            ,Yes                          ,No
                   870 ,Yes            ,E-commerce Fraud ,               26 ,                       21 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,Yes                         ,                     0.66 ,No                   ,Night            ,No                        ,              1528 ,Regular      ,No                             ,Yes                          ,No
                  5400 ,No             ,Phishing         ,                5 ,                       36 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.38 ,No                   ,Day              ,Yes                       ,              2977 ,Business     ,No                             ,No                           ,No
                  5201 ,Yes            ,Phishing         ,               93 ,                       22 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.29 ,No                   ,Day              ,No                        ,              3564 ,Regular      ,No                             ,Yes                          ,No
                  5744 ,No             ,E-commerce Fraud ,               54 ,                       46 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.49 ,No                   ,Night            ,No                        ,              2373 ,Premium      ,No                             ,Yes                          ,No
                  6275 ,No             ,Honeypot Attack  ,               86 ,                       20 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.9  ,No                   ,Night            ,No                        ,              1692 ,Business     ,No                             ,Yes                          ,No
                   476 ,Yes            ,E-commerce Fraud ,               49 ,                       22 ,No                      ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.67 ,No                   ,Day              ,No                        ,              3514 ,Regular      ,No                             ,No                           ,No
                  4436 ,No             ,E-commerce Fraud ,                3 ,                       40 ,Yes                     ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.61 ,No                   ,Day              ,Yes                       ,              1678 ,Business     ,No                             ,No                           ,Yes
                  5588 ,Yes            ,Identity Theft   ,               92 ,                       11 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.72 ,No                   ,Day              ,Yes                       ,              1131 ,Premium      ,No                             ,No                           ,No
                  8332 ,No             ,E-commerce Fraud ,               38 ,                       47 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.73 ,No                   ,Day              ,No                        ,               562 ,Premium      ,Yes                            ,No                           ,Yes
                  1695 ,No             ,Phishing         ,               14 ,                       31 ,Yes                     ,Yes                ,Yes                    ,No                           ,No                     ,No                          ,                     0.29 ,No                   ,Night            ,Yes                       ,              1738 ,Premium      ,Yes                            ,No                           ,No
                   779 ,No             ,Ransomware       ,               47 ,                       40 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,Yes                         ,                     0.23 ,No                   ,Day              ,Yes                       ,               169 ,Premium      ,No                             ,No                           ,No
                  6959 ,Yes            ,Identity Theft   ,               14 ,                       13 ,Yes                     ,Yes                ,Yes                    ,No                           ,Yes                    ,Yes                         ,                     0.51 ,No                   ,Day              ,No                        ,              3018 ,Business     ,No                             ,No                           ,No
                  2443 ,Yes            ,Identity Theft   ,               75 ,                       18 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.15 ,No                   ,Night            ,Yes                       ,              3396 ,Premium      ,No                             ,No                           ,No
                  5321 ,No             ,Honeypot Attack  ,               73 ,                       22 ,Yes                     ,No                 ,Yes                    ,Yes                          ,No                     ,Yes                         ,                     0.47 ,No                   ,Day              ,No                        ,              2859 ,Business     ,No                             ,No                           ,No
